,Rank,name,YOB,Country,Total Points,Height,Weight,Languages,Sponsors,Twitter,race_starts,race_finishes,finish_percentage,race_wins,race_podiums,race_podium_percentage,race_wins_percentage,Agebucket
0,1,Vincent Luis,1989,FRA,6199.05,177.0,65.0,French - English - Spanish,Nike - Specialized - Oakley - Skoda,vincentluistri,84,84,100,17,32,38,20.0,"(1988.0, 1991.0]"
1,2,Mario Mola,1990,ESP,5675.57,178.0,63.0,"Spanish, Catalan and English","Red Bull, Hotels Viva, BH, Hed, Oakley, Nike ",mariomola,102,102,100,23,48,47,23.0,"(1988.0, 1991.0]"
2,3,Fernando Alarza,1991,ESP,5125.49,178.0,67.0,Spanish,"BH, ETIXX, ASICS, ROTOR, URSUS, DMT, AX3",Fernando_Alarza,86,86,100,4,20,23,5.0,"(1988.0, 1991.0]"
3,4,Jacob Birtwhistle,1995,AUS,4560.24,,,,,,64,64,100,13,26,41,20.0,"(1994.0, 1997.0]"
4,5,Tyler Mislawchuk,1994,CAN,4516.46,173.0,61.0,,Nike,Mislawchuk,63,63,100,5,10,16,8.0,"(1991.0, 1994.0]"
5,6,Marten Van Riel,1992,BEL,4436.68,183.0,66.0,,,MartenVanRiel,63,63,100,5,11,17,8.0,"(1991.0, 1994.0]"
6,7,Gustav Iden,1996,NOR,4384.44,,,,,guiden96,56,56,100,5,12,21,9.0,"(1994.0, 1997.0]"
7,8,Javier Gomez Noya,1983,ESP,4310.86,178.0,69.0,"Spanish, English, Galician","Specialized, ROKA, Multipower, Oakley, Mizuno, Sram, Quarq.",Jgomeznoya,122,122,100,45,83,68,37.0,"(1982.0, 1985.0]"
8,9,Henri Schoeman,1991,RSA,4305.8,170.0,57.0,English,"HUUB Design, FINIS, Swift Carbon, Asics, Oakley, Schwalbe, Prime HPI, CeramicSpeed, Thanyapura Phuket",H_Schoeman,84,84,100,15,24,28,18.0,"(1988.0, 1991.0]"
9,10,Bence Bicsák,1995,HUN,4122.43,,,,,,71,70,99,8,14,20,11.0,"(1994.0, 1997.0]"
10,11,Kristian Blummenfelt,1994,NOR,4049.88,176.0,,Norwegian and English,"Red Bull, Texaco, Bahrain Endurance 13, Oakley, Huub Design, Trimtex, Maurten, Incylence, Specialized, YX Smøreolje, ",kristianblu,67,67,100,10,26,39,15.0,"(1991.0, 1994.0]"
